Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	C8	C9	D1	D2	D3	D4	D5	D6	D7	D8	D9	E1	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	H9
14:29:16	0.635	0.647	0.616	0.136	0.11	0.08	0.264	0.201	0.147	0.437	0.426	0.373	0.016	0.003	0.001	0.046	0.033	0.019	0.543	0.523	0.524	0.052	0.044	0.038	0.179	0.117	0.099	0.431	0.446	0.412	0.019	0.008	0.003	0.137	0.109	0.05	0.828	0.853	0.867	0.449	0.416	0.368	0.357	0.371	0.37		0.688	0.72	0.156	0.12	0.087	0.309	0.304	0.299	0.78	0.794	0.8	0.235	0.225	0.172	0.286	0.259	0.263	0.975	0.975	0.984	0.275	0.242	0.207	0.233	0.165	0.214
14:59:16	0.652	0.663	0.63	0.138	0.11	0.08	0.272	0.206	0.149	0.46	0.454	0.404	0.017	0.003	0.001	0.047	0.034	0.02	0.557	0.538	0.541	0.053	0.044	0.037	0.18	0.12	0.101	0.453	0.471	0.436	0.019	0.008	0.003	0.142	0.114	0.053	0.859	0.875	0.886	0.455	0.418	0.376	0.359	0.372	0.375		0.703	0.752	0.157	0.119	0.086	0.311	0.307	0.299	0.806	0.822	0.831	0.239	0.228	0.178	0.282	0.257	0.26	1.005	1.008	1.008	0.273	0.244	0.208	0.227	0.165	0.212
15:29:16	0.667	0.681	0.646	0.14	0.113	0.082	0.28	0.211	0.153	0.486	0.48	0.435	0.017	0.004	0.001	0.052	0.037	0.022	0.573	0.554	0.555	0.053	0.046	0.037	0.19	0.121	0.109	0.475	0.493	0.458	0.021	0.009	0.003	0.155	0.121	0.059	0.876	0.891	0.895	0.463	0.428	0.381	0.37	0.386	0.391		0.716	0.83	0.157	0.119	0.086	0.314	0.309	0.301	0.829	0.842	0.856	0.251	0.239	0.183	0.308	0.267	0.272	1.034	1.029	1.026	0.277	0.253	0.213	0.236	0.172	0.225
15:59:16	0.685	0.697	0.663	0.145	0.117	0.087	0.294	0.221	0.156	0.506	0.509	0.46	0.018	0.004	0.001	0.06	0.042	0.022	0.591	0.574	0.573	0.055	0.047	0.038	0.201	0.131	0.113	0.499	0.517	0.482	0.023	0.011	0.004	0.167	0.133	0.066	0.9	0.91	0.909	0.476	0.438	0.396	0.383	0.402	0.413		0.736	0.802	0.158	0.122	0.087	0.317	0.312	0.306	0.851	0.863	0.876	0.267	0.255	0.202	0.312	0.283	0.295	1.054	1.047	1.044	0.299	0.267	0.231	0.257	0.181	0.251
16:29:16	0.7	0.709	0.677	0.147	0.118	0.089	0.307	0.231	0.161	0.528	0.527	0.489	0.019	0.004	0.001	0.065	0.048	0.025	0.607	0.59	0.589	0.054	0.048	0.038	0.213	0.138	0.12	0.522	0.537	0.506	0.024	0.012	0.005	0.178	0.145	0.074	0.922	0.933	0.931	0.482	0.446	0.402	0.397	0.421	0.425		0.785	0.823	0.159	0.123	0.088	0.319	0.318	0.313	0.873	0.884	0.897	0.279	0.265	0.21	0.32	0.299	0.308	1.072	1.065	1.06	0.309	0.279	0.243	0.274	0.201	0.272
16:59:16	0.712	0.721	0.691	0.152	0.12	0.089	0.313	0.232	0.166	0.55	0.551	0.511	0.02	0.004	0.001	0.07	0.051	0.027	0.619	0.605	0.602	0.055	0.048	0.037	0.218	0.142	0.123	0.542	0.556	0.527	0.025	0.012	0.006	0.186	0.152	0.079	0.947	0.952	0.947	0.488	0.452	0.409	0.408	0.425	0.438		0.816	0.924	0.158	0.122	0.087	0.323	0.32	0.316	0.895	0.907	0.921	0.29	0.275	0.218	0.33	0.303	0.318	1.086	1.082	1.077	0.316	0.281	0.253	0.281	0.2	0.286
17:29:16	0.726	0.733	0.705	0.154	0.123	0.097	0.324	0.245	0.17	0.571	0.569	0.535	0.021	0.004	0.002	0.078	0.056	0.028	0.631	0.62	0.617	0.056	0.05	0.038	0.228	0.149	0.128	0.567	0.577	0.549	0.027	0.013	0.007	0.197	0.164	0.083	0.97	0.97	0.964	0.495	0.459	0.417	0.415	0.439	0.45		0.899	0.935	0.159	0.124	0.089	0.325	0.325	0.319	0.913	0.929	0.945	0.301	0.287	0.23	0.337	0.319	0.334	1.103	1.096	1.093	0.322	0.296	0.271	0.291	0.219	0.307
17:59:16	0.739	0.748	0.719	0.158	0.124	0.096	0.33	0.243	0.171	0.588	0.591	0.556	0.022	0.005	0.002	0.079	0.057	0.027	0.643	0.633	0.63	0.058	0.049	0.037	0.231	0.149	0.132	0.584	0.6	0.571	0.027	0.014	0.007	0.205	0.164	0.087	1.002	0.99	0.982	0.498	0.463	0.424	0.42	0.441	0.453		0.945	0.9	0.159	0.123	0.088	0.327	0.325	0.323	0.937	0.954	0.974	0.308	0.292	0.235	0.342	0.321	0.331	1.12	1.112	1.11	0.328	0.301	0.27	0.299	0.213	0.303
18:29:16	0.752	0.758	0.734	0.157	0.128	0.099	0.338	0.253	0.175	0.61	0.613	0.581	0.022	0.005	0.002	0.088	0.061	0.028	0.657	0.647	0.645	0.057	0.05	0.038	0.243	0.158	0.134	0.609	0.619	0.595	0.028	0.014	0.007	0.21	0.173	0.088	1.098	1.004	1.006	0.501	0.468	0.432	0.426	0.452	0.459		0.938	0.917	0.159	0.123	0.09	0.332	0.33	0.324	0.96	0.98	1	0.315	0.297	0.245	0.348	0.325	0.337	1.136	1.128	1.125	0.33	0.301	0.28	0.299	0.225	0.312
18:59:16	0.762	0.769	0.744	0.163	0.129	0.099	0.348	0.257	0.174	0.627	0.633	0.602	0.023	0.005	0.002	0.093	0.067	0.029	0.667	0.659	0.657	0.056	0.05	0.037	0.248	0.157	0.136	0.631	0.64	0.617	0.028	0.014	0.007	0.215	0.174	0.092	1.114	1.037	1.039	0.504	0.471	0.431	0.433	0.45	0.463		0.976	1.001	0.159	0.124	0.088	0.335	0.332	0.329	0.985	1.006	1.023	0.321	0.301	0.246	0.353	0.326	0.336	1.152	1.141	1.138	0.332	0.308	0.278	0.308	0.226	0.312
19:29:16	0.778	0.781	0.761	0.166	0.129	0.104	0.355	0.262	0.178	0.646	0.654	0.624	0.024	0.005	0.002	0.096	0.068	0.032	0.68	0.675	0.67	0.057	0.051	0.038	0.249	0.16	0.14	0.652	0.666	0.639	0.03	0.015	0.008	0.222	0.181	0.097	1.153	1.074	1.069	0.512	0.478	0.442	0.436	0.465	0.475		0.958	0.97	0.159	0.125	0.089	0.336	0.336	0.334	1.008	1.027	1.046	0.328	0.311	0.256	0.364	0.338	0.348	1.163	1.151	1.15	0.336	0.321	0.287	0.319	0.234	0.33
19:59:16	0.786	0.789	0.771	0.166	0.132	0.104	0.361	0.266	0.179	0.667	0.671	0.644	0.024	0.005	0.002	0.101	0.071	0.031	0.691	0.686	0.68	0.057	0.05	0.038	0.257	0.165	0.14	0.672	0.685	0.662	0.03	0.015	0.008	0.224	0.184	0.101	1.187	1.101	1.098	0.512	0.481	0.442	0.445	0.469	0.482		0.978	0.988	0.16	0.123	0.089	0.338	0.341	0.334	1.018	1.048	1.066	0.335	0.315	0.26	0.368	0.344	0.348	1.177	1.157	1.16	0.344	0.316	0.292	0.322	0.239	0.333
20:29:16	0.798	0.8	0.784	0.17	0.133	0.11	0.366	0.275	0.181	0.684	0.689	0.662	0.025	0.005	0.002	0.107	0.077	0.03	0.703	0.698	0.692	0.059	0.05	0.038	0.26	0.168	0.143	0.695	0.707	0.684	0.032	0.016	0.009	0.232	0.191	0.099	1.216	1.128	1.127	0.517	0.482	0.45	0.448	0.479	0.483		1.02	1.013	0.159	0.125	0.089	0.341	0.345	0.337	1.036	1.067	1.082	0.342	0.322	0.269	0.373	0.348	0.357	1.188	1.168	1.169	0.348	0.323	0.308	0.337	0.245	0.347
20:59:16	0.812	0.814	0.799	0.174	0.135	0.112	0.381	0.28	0.18	0.705	0.706	0.682	0.026	0.006	0.003	0.113	0.082	0.032	0.715	0.71	0.705	0.058	0.052	0.039	0.267	0.174	0.144	0.715	0.725	0.707	0.032	0.018	0.01	0.237	0.195	0.102	1.235	1.173	1.155	0.519	0.488	0.453	0.456	0.489	0.489		1.011	1.021	0.159	0.126	0.089	0.343	0.348	0.339	1.058	1.089	1.102	0.345	0.329	0.274	0.38	0.357	0.36	1.2	1.175	1.182	0.346	0.328	0.307	0.342	0.257	0.344
21:29:16	0.825	0.828	0.812	0.177	0.138	0.117	0.384	0.289	0.181	0.72	0.725	0.701	0.027	0.006	0.003	0.118	0.088	0.031	0.729	0.726	0.717	0.059	0.051	0.038	0.273	0.179	0.145	0.737	0.744	0.727	0.035	0.018	0.011	0.244	0.202	0.104	1.253	1.188	1.176	0.526	0.492	0.462	0.463	0.497	0.496		1.026	1.046	0.161	0.125	0.09	0.348	0.349	0.341	1.076	1.108	1.118	0.357	0.333	0.285	0.39	0.37	0.37	1.209	1.185	1.195	0.361	0.334	0.322	0.35	0.257	0.365
21:59:16	0.833	0.836	0.824	0.177	0.141	0.114	0.39	0.287	0.184	0.738	0.745	0.717	0.028	0.006	0.003	0.122	0.087	0.034	0.739	0.737	0.728	0.06	0.053	0.038	0.275	0.181	0.15	0.757	0.764	0.748	0.035	0.018	0.011	0.249	0.202	0.108	1.268	1.223	1.196	0.525	0.495	0.462	0.466	0.496	0.501		1.041	1.075	0.16	0.127	0.09	0.347	0.352	0.347	1.093	1.131	1.137	0.356	0.34	0.285	0.389	0.363	0.372	1.218	1.194	1.208	0.361	0.339	0.318	0.351	0.264	0.373
